Author,Art,Sale date,Price,Size,Style,Estimate,Provenance,Sign,Collection,Technique and performance material,Painted,Image
Edouard Manet,Le Printemps,11.05.2014,"65,125,000",74 x 51.5 cm,Impressionist & Modern Evening Sale,"USD 25,000,000 - USD 35,000,000","Antonin Proust, Paris (acquired from the artist, 2 January 1883).
Jean-Baptiste Faure, Paris (acquired from the above, by 1902).
Galerie Durand-Ruel et Cie., Paris (acquired from the above, 13 March 1907).
Durand-Ruel Galleries, New York (acquired from the above, 24 November 1909).
Colonel Oliver H. Payne, New York (acquired from the above, 1909).
By descent from the above to the present owners.
","
signed and dated 'manet 1881' (lower left)
",-,oil on canvas,1881,https://www.christies.com/img/LotImages/2014/NYR/2014_NYR_02888_0016_000(edouard_manet_le_printemps).jpg
Jeff Koons,Balloon dog,11.12.2013,"58,405,000",363.2 x 114.3 cm,Post-War and Contemporary Evening Sale,"USD 35,000,000 - USD 55,000,000","Anthony d'Offay Gallery, London
Acquired from the above by the present owner
","
signed and dated 'Jeff Koons 1994-2000' (on the underside)
",-,mirror-polished stainless steel with transparent color coating,1994,https://www.christies.com/img/LotImages/2013/NYR/2013_NYR_02791_0012_000(jeff_koons_balloon_dog).jpg
Jackson Pollock,Number 19REPEAT SALE,05.15.2013,"58,363,752",78.4 x 57.4 cm,Post-War & Contemporary Evening Sale,"USD 25,000,000 - USD 35,000,000","Janet Chase Hauck, New York
Anon. sale; Christie's, New York, 4 May 1993, lot 10
Private collection, Paris
Acquired from the above by the present owner
","
signed and dated 'Jackson Pollock 48' (upper left) 
","
Private collection, Paris
",oil and enamel on paper mounted on canvas ,1948,https://www.christies.com/img/LotImages/2013/NYR/2013_NYR_02785_0018_000(jackson_pollock_number_19_1948).jpg
Andy Warhol,Coca-Cola,11.12.2013,"57,285,000",176.2 x 137.2 cm,Post-War and Contemporary Evening Sale,"USD 40,000,000 - USD 60,000,000","Andy Warhol Studio, New York
S. I. Newhouse, Jr. , New York, acquired from the above, 1986
Acquired from the above by the present owner, 1995
","
signed 'Andy Warhol' (on the turning edge)
",-,casein on cotton,1962,https://www.christies.com/img/LotImages/2013/NYR/2013_NYR_02791_0027_000(andy_warhol_coca-cola_3).jpg
Juan Gris,Nature morte à la nappe à carreaux,02.04.2014,"57,006,496",116.5 x 89.3 cm,Impressionist/Modern Evening Sale,"GBP 12,000,000 - GBP 18,000,000","Galerie de L'Effort Moderne [Léonce Rosenberg], Paris (no. 5114). 
Dr Gottlieb Friedrich Reber, Lausanne, by whom acquired in November 1925. 
Gisela M. Reber, Lugano, 1926. 
Galerie Gasser, Zurich, circa 1944. 
Professor Dr Wilhelm Löffler, Zurich, by 1955.
Private collection, Zurich, a bequest from the above in 1972, and thence by descent to the present owners.","
signed and dated ‘Juan Gris 3-15’ (on the reverse)
","
Private collection, Zurich, a bequest from the above in 1972, and thence by descent to the present owners.",oil on canvas,1915,https://www.christies.com/img/LotImages/2014/CKS/2014_CKS_01505_0009_000(juan_gris_nature_morte_a_la_nappe_a_carreaux).jpg
Roy Lichtenstein,Woman with Flowered Hat,05.15.2013,"56,123,752",127.3 x 102.2 cm,Post-War & Contemporary Evening Sale,,"Leo Castelli Gallery, New York
Mr. and Mrs. Leon A. Mnuchin, New York
Mr. and Mrs. Anthony Tyson, New York
Gagosian Gallery, New York
Mr. and Mrs. S.I. Newhouse, New York
Gagosian Gallery, New York
Acquired from the above by the present owner 
","
signed and dated 'rf Lichtenstein '63' (on the reverse) 
",-,Magna on canvas ,1963,https://www.christies.com/img/LotImages/2013/NYR/2013_NYR_02785_0034_000(roy_lichtenstein_woman_with_flowered_hat).jpg
Alberto Giacometti,Grande tête mince,05.04.2010,"53,282,500",65 cm,Property from the Collection of Mrs. Sidney F. Brody,"USD 25,000,000 - USD 35,000,000","Pierre Matisse Gallery, New York.
Acquired from the above by Mr. and Mrs. Sidney Brody, 19 May 1955.
","
signed and numbered 'Alberto Giacometti 3/6' (on the front); inscribed with the foundry mark 'Susse Fondeur' (on the back)
",-,bronze with dark brown patina ,1954,https://www.christies.com/img/LotImages/2010/NYR/2010_NYR_02410_0013_000(alberto_giacometti_grande_tete_mince).jpg
Amedeo Modigliani,Tête,06.14.2010,"52,327,264",64 cm,Art Impressionniste et Moderne,"EUR 4,000,000 - EUR 6,000,000","Atelier de l'artiste, Paris.
Probablement Galerie Paul Guillaume, Paris.
Raymond Mayer, Paris; vente, Me Bellier, Paris, 15 juin 1927, lot 67. Gaston Lévy, Paris (acquis au cours de cette vente).
Andrée Lévy, Paris (par descendance).
Puis par descendance au propriétaire actuel. 
","
signé 'MODIGLIANI' (à l'arrière) 
",-,-,-,https://www.christies.com/img/LotImages/2010/PAR/2010_PAR_05625_0024_000(amedeo_modigliani_tete).jpg
Pablo Picasso,Portrait d′Angel Fernández de SotoREPEAT SALE,06.23.2010,"51,373,652",70.3 x 55.3 cm,Impressionist/Modern  Evening Sale,"GBP 30,000,000 - GBP 40,000,000","Paul von Mendelssohn-Bartholdy, Berlin.
Justin K. Thannhauser, Berlin and Lucerne, by 31 August 1935.
M. Knoedler & Co., Inc., New York, by whom acquired from the above on 2 September 1936.
William H. Taylor, West Chester, Pennsylvania, by whom acquired from the above in October 1936.
Donald and Jean Stralem, New York, by whom acquired from the above through the agency of M. Knoedler & Co., Inc., New York, in May 1946; sale, Sotheby's, New York, 8 May 1995, lot 14.
Acquired at the above sale by the present owner. 
","
signed and dated 'Picasso 1903' (upper right) 
",-,oil on canvas ,1903,https://www.christies.com/img/LotImages/2010/CKS/2010_CKS_07857_0008_000(pablo_picasso_portrait_dangel_fernández_de_soto).jpg
Jean-Michel Basquiat,Dustheads,05.15.2013,"48,843,752",182.8 x 213.3 cm,Post-War & Contemporary Evening Sale,"USD 25,000,000 - USD 35,000,000","Annina Nosei Gallery, New York
Private collection, New York
Tony Shafrazi Gallery, New York
Acquired from the above by the present owner, 1996 
","
signed, titled and dated 'DUSTHEADS Jean-Michel Basquiat 82' (on the reverse)
","
Private collection, New York
","acrylic, oilstick, spray enamel and metallic paint on canvas ",1982,https://www.christies.com/img/LotImages/2013/NYR/2013_NYR_02785_0010_000(jean-michel_basquiat_dustheads).jpg
Henri Matisse,"Nu de dos, 4 état",11.03.2010,"48,802,500",189.2 cm,Impressionist and Modern Evening Sale ,"USD 25,000,000 - USD 35,000,000","Estate of the artist.
Waddington Galleries, London (1987).
Galerie Beyeler, Basel (1987).
Acquired from the above by the present owner.
","
signed with initials 'HM' and numbered '00/10' (lower right) 
",-,bronze with dark brown patina ,1930,https://www.christies.com/img/LotImages/2010/NYR/2010_NYR_02352_0065_000(henri_matisse_nu_de_dos_4_etat).jpg
Raphaël,Head of a muse,12.08.2009,"48,033,684",30.5 x 22.2 cm,"Old Master & 19th Century Paintings, Drawings & Watercolours Evening Sale","GBP 12,000,000 - GBP 16,000,000","Gosuinus Uilenbroek, Amsterdam, by 1725; probably his sale, Beukelaar, Amsterdam, 23 October 1741, lot F.65, 'Vrouwe Hooft levens groote, met swart kryt van den zelven [Rafael]' (sold for 6.15 florins).
Lady Bentinck (according to the Woodburn's Gallery exhibition in 1836). Sir Thomas Lawrence (L. 2445).
with Woodburn's Gallery, London; from whom purchased by
The Prince of Orange, later King William II of Holland; his sale, The Hague, 19 August 1850, lot 24, 'RAPHAEL.  La soeur de Raphael, dessin à la pierre d'Italie.  La resemblance entre ce portrait et les Madonnes du peintre, fait présumer que la soeur lui a servi souvent de modèle' (500 florins to Colnaghi).
with Colnaghi, London, 1850.
Boulton Collection (according to Ruland, loc. cit.).
M. Marignane (L. 1872); from whom purchased by an English collector, in or before 1936. 
",-,"
Boulton Collection (according to Ruland, loc. cit.).
","black chalk over pounce marks, traces of stylus, watermark encircled Saint Anthony's cross",-,https://www.christies.com/img/LotImages/2009/CKS/2009_CKS_07782_0043_000().jpg
Mark Rothko,No. 11,11.12.2013,"46,085,000",201.9 x 177.2 cm,Post-War and Contemporary Evening Sale,"USD 25,000,000 - USD 35,000,000","Marlborough Gallery, New York
Mrs. Michael Meyer, Kilchberg
Galerie Beyeler, Basel
Private collection, Zürich
Vivian Horan, New York
Marshall Cogan, New York
Anon. sale; Christie's, New York, 18 November 1992, lot 6
Acquired at the above sale by the present owner
","
signed and dated 'MARK ROTHKO 1957' (on the reverse)
","
Private collection, Zürich
",oil on canvas,1957,https://www.christies.com/img/LotImages/2013/NYR/2013_NYR_02791_0021_000(mark_rothko_no_11).jpg
Henri Matisse,"Les coucous, tapis bleu et rose",02.23.2009,"46,055,344",81 x 65.5 cm,Collection Yves Saint Laurent et Pierre Bergé,"EUR 12,000,000 - EUR 18,000,000","Galerie Bernheim-Jeune, Paris (acquis auprès de l'artiste, 15 mai 1911).
Galerie Tanner, Zurich.
Hans Mettler, Saint-Gall (acquis auprès de celle-ci, octobre 1918); vente, Christie's, Londres, 2 juillet 1979, lot 19.
Galerie Tarica, Paris.
Acquis auprès de celle-ci par Yves Saint Laurent et Pierre Bergé, juillet 1981. 
","
signé et daté 'Henri-Matisse 1911-' (en bas à droite) 
",-,huile sur toile ,-,https://www.christies.com/img/LotImages/2009/PAR/2009_PAR_01209_0055_000().jpg
Francis Bacon,Seated FigureREPEAT SALE,11.12.2014,"44,965,000",152.8 x 119.5 cm,Post-War & Contemporary Art Evening Sale,"USD 40,000,000 - USD 60,000,000","Marlborough Fine Art, London
Martha Jackson Gallery, New York
Mr. and Mrs. Frank M. Titelman, Altoona
Galerie Brusberg, Hannover
Private collection, Berlin
Anon. sale; Christie's, London, 4 December 1996, lot 31
Acquired at the above sale by the present owner
",-,"
Private collection, Berlin
",oil on canvas,1960,https://www.christies.com/img/LotImages/2014/NYR/2014_NYR_02891_0045_000(francis_bacon_seated_figure).jpg
Roy Lichtenstein,I can see the whole room!... and there′s nobody in it!REPEAT SALE,11.08.2011,"43,202,500",121.9 x 121.9 cm,Post-War Contemporary Evening Sale,"USD 35,000,000 - USD 45,000,000","Leo Castelli Gallery, New York
Emily and Burton Tremaine, Meriden, 1961
Their sale; Christie's, New York, 9 November 1988, lot 27
Acquired at the above sale by the present owner 
","
signed 'rfl' (lower right) 
",-,oil and graphite on canvas ,1961,https://www.christies.com/img/LotImages/2011/NYR/2011_NYR_02480_0034_000(roy_lichtenstein_i_can_see_the_whole_roomand_theres_nobody_in_it).jpg
Roy Lichtenstein,Ohhh...Alright...,11.10.2010,"42,642,500",90.2 x 96.5 cm,Post-War and Contemporary Evening Sale,,"Leo Castelli Gallery, New York
E.J. Power, London
Ileana Sonnabend, Paris
Private Collection, London
Steve Martin, Los Angeles
Acquavella Galleries, Inc., New York
Acquired from the above by the present owner 
","
signed and dated 'rf Lichtenstein '64' (on the reverse) 
","
Private Collection, London
",oil and magna on canvas ,1964,https://www.christies.com/img/LotImages/2010/NYR/2010_NYR_02355_0005_000(roy_lichtenstein_ohhhalright).jpg
Amedeo Modigliani,Jeanne Hébuterne,02.06.2013,"42,347,128",92 x 54 cm,Impressionist/Modern Evening Sale,"GBP 16,000,000 - GBP 22,000,000","Leopold Zborowski, Paris.
Paul Guillaume, Paris, by 1929.
Galerie Bignou, Paris.
H. Belien, Brussels.
M. Knoedler & Co., Inc., New York.
Private collection, United States, by whom acquired from the above in 1955; sale, Sotheby's, New York, 13 May 1997, lot 36.
Private collection, United States, by whom acquired at the above sale; sale, Sotheby's, London, 19 June 2006, lot 15.
Acquired at the above sale by the present owner. 
","
signed 'modigliani' (upper right) 
","
Private collection, United States, by whom acquired from the above in 1955; sale, Sotheby's, New York, 13 May 1997, lot 36.
",oil on canvas ,1919,https://www.christies.com/img/LotImages/2013/CKS/2013_CKS_01102_0016_000(amedeo_modigliani_jeanne_hebuterne).jpg
Claude Monet,Le Pont du chemin de fer à ArgenteuilREPEAT SALE,05.06.2008,"41,481,000",60 x 98.4 cm,Impressionist And Modern Art  Evening Sale,,"Jean-Baptiste Faure, Paris (acquired from the artist, June 1874); sale, Hôtel Drouot, Paris, 29 April 1878.
Prince de Wagram, Paris.
Galerie Bernheim-Jeune et Cie., Paris.
Galerie Georges Petit, Paris.
Galerie Barbazanges, Paris.
M. Levesque, Paris (circa 1914).
Meyer Goodfriend, Paris and New York; sale, American Art Galleries, New York, 4-5 January 1923, lot 110.
Thomas McLean (Eugène Cremetti), London.
Alphonse Morhange, Paris (acquired from the above, 1927).
Maurice Barret-Decap, Paris.
Etienne Bignou, Paris (circa 1949).
Arthur Tooth & Sons, Ltd., London.
William A. Cargill, Carruth, Scotland.
Anon. sale, Sotheby's, London, 11 June 1963, lot 31.
Paul Kantor Gallery, Beverly Hills (acquired at the above sale).
Mr. and Mrs. Sydney R. Barlow, Beverly Hills (acquired from the above, 1963); sale, Sotheby's, London, 2 April 1979, lot 6.
Private collection, Europe (acquired at the above sale); sale, Christie's, London, 28 November 1988, lot 10.
Acquired at the above sale by the present owner.
","
signed 'Claude Monet' (lower left) 
","
Private collection, Europe (acquired at the above sale); sale, Christie's, London, 28 November 1988, lot 10.
",oil on canvas ,1873,https://www.christies.com/img/LotImages/2008/NYR/2008_NYR_01994_0021_000().jpg
Andy Warhol,White Marilyn,05.13.2014,"41,045,000",50.8 x 40.6 cm,Post-War and Contemporary Evening Sale,"USD 12,000,000 - USD 18,000,000","Eleanor Ward, New York, gift of the artist
Gian Enzo Sperone, Rome
Sperone Westwater Fischer, New York
Luhring Augustine Gallery, New York
Acquired from the above by the present owner, 1995
","
signed, dated and inscribed 'To Eleanor Ward Andy Warhol/62' (on the reverse)
",-,acrylic and silkscreen ink on linen ,1962,https://www.christies.com/img/LotImages/2014/NYR/2014_NYR_02847_0026_000(andy_warhol_white_marilyn).jpg
Edward Hopper,East Wind Over Weehawken,12.05.2013,"40,485,000",86.4 x 127.6 cm,American Art,"USD 22,000,000 - USD 28,000,000","The artist.
[With]Frank K.M. Rehn Galleries, New York.
Acquired by the present owner from the above, 1952.
","
signed 'E. Hopper' (lower right) 
",-,oil on canvas ,1934,https://www.christies.com/img/LotImages/2013/NYR/2013_NYR_02750_0017_000(edward_hopper_east_wind_over_weehawken).jpg
Franz Kline,Untitled,11.14.2012,"40,402,500",200.7 x 280.4 cm,Post-War & Contemporary Art Evening Sale,"USD 20,000,000 - USD 30,000,000","Collection of the artist
Robert and Adriana Mnuchin, New York
David Geffen, Los Angeles
C&M Arts, New York
Acquired from the above by the present owner 
","
signed twice and dated twice 'FRANZ KLINE '57' (on the reverse) 
","Collection of the artist
",oil on canvas ,1957,https://www.christies.com/img/LotImages/2012/NYR/2012_NYR_02597_0017_000(franz_kline_untitled).jpg
Vincent van Gogh,"L′Arlésienne, Madame Ginoux",05.02.2006,"40,336,000",65 x 54 cm,Impressionist and Modern Art Evening Sale,"USD 40,000,000 - USD 50,000,000","Theo van Gogh, Paris.
Johanna van Gogh-Bonger, Paris/Bussum (by descent from the above).
Galerie Bernheim-Jeune, Paris (acquired in March/April 1907).
Elsa Tischner-von Durant, Freising (by 1912)
Galerie Thannhauser, Lucerne (acquired from the above, 27 January 1928).
Harry Bakwin, New York (acquired from the above, 17 September 1929).
By descent from the above to the present owners.
",-,-,oil on canvas ,1890,https://www.christies.com/img/LotImages/2006/NYR/2006_NYR_01655_0019_000().jpg
Gustav Klimt,Birch Forest,11.08.2006,"40,336,000",110 x 110 cm,Impressionist and Modern Art Evening Sale,"USD 20,000,000 - USD 30,000,000","Adele and Ferdinand Bloch-Bauer, Vienna (acquired from the artist).
Seized by the Viennese Magistrate, May 1938 (following the Nazi Anschluss of March 1938).
With Dr. Erich Führer, Vienna (the state-appointed administrator for Ferdinand Bloch-Bauer).
Städtische Sammlung, Vienna (acquired from the above, November 1942).
Österreichische Galerie, Vienna (transferred from the above, 1948).
Restituted to the heirs of Adele and Ferdinand Bloch-Bauer by the Republic of Austria, March 2006.
","
signed 'Gustav Klimt' (lower left) 
",-,oil on canvas ,1903,https://www.christies.com/img/LotImages/2006/NYR/2006_NYR_01722_0051_000().jpg
Ernst Ludwig Kirchner,Berliner Strassenszene,11.08.2006,"38,096,000",121.6 x 91.1 cm,Impressionist and Modern Art Evening Sale,"USD 18,000,000 - USD 24,000,000","Alfred and Thekla Hess, Erfurt.
Hans Hess, Erfurt/Berlin/Paris (by descent from the above, circa 1933-1937).
Sold under duress due to persecution by the Nazi authorities.
Kölner Kunstverein, Cologne.
Dr. Carl Hagemann, Frankfurt (acquired from the above, 1937).
Professor Dr. Holzinger, Frankfurt (after 1945).
Dr. Elisabeth Holzinger (by descent from the above).
Brücke Museum, Berlin (acquired from the family of the above, 1980).
Restituted to the heirs of Alfred Hess, July 2006. 
","
signed twice 'E.L. Kirchner' (lower right and lower left); signed again 'EL Kirchner' (on the reverse)
",-,oil on canvas ,1913,https://www.christies.com/img/LotImages/2006/NYR/2006_NYR_01722_0037_000().jpg
Constantin Brancusi,Madame L.R.,02.23.2009,"37,435,600",117.1 cm,Collection Yves Saint Laurent et Pierre Bergé,"EUR 15,000,000 - EUR 20,000,000","Fernand Léger, Paris (échange avec l'artiste).
Nadia Léger, Biot (par descendance).
Galerie Tarica, Paris (acquis auprès de celle-ci).
Acquis auprès de celle-ci par Yves Saint Laurent et Pierre Bergé, vers 1970. 
",-,-,-,-,https://www.christies.com/img/LotImages/2009/PAR/2009_PAR_01209_0035_000().jpg
Raphaël,"Portrait of Lorenzo de′ Medici, Duke of Urbino",07.05.2007,"37,320,048",97 x 79 cm,Important Old Master and British Pictures (Evening Sale),"GBP 10,000,000 - GBP 15,000,000","Lorenzo de' Medici, Duke of Urbino (1492-1519), Florence, 1518, and by inheritance through
Ottaviano de' Medici, Florence, 1546, to
Cosimo I de' Medici, Duke of Florence, later Grand Duke of Tuscany (1519-1574), Palazzo Vecchio, 1553, inventory of 1 July 1560, f. 59, 'Un' ritratto in tela grande entrovi la testa dell Illmo Signor duca Lorenzo de' medici di man di Rafaello da Urbino co[n] ornamento dorato'.
(Presumably) John Rushout, 2nd Lord Northwick (1770-1859), Thirlestaine House, Cheltenham, where placed in the Principal Gallery; Phillips's, on the premises, 19 [=16th day] August 1859, lot 1587, 'RAFFAELLE Portrait of the Duke d'Urbino, in a crimson dress, trimmed with fur, and a black hat. /A magnificent portrait. /Raphael' (50 gns. to Colnaghi).
Hollingworth Magniac (1786-1867), Colworth, Bedfordshire, by 1862; Christie's, London, 2 July 1892, lot 84, illustrated (540 gns. to Thos. Agnew and Sons).
Lt. Col. A. Heywood-Lonsdale, M.C.; Christie's, London, 23 November 1962, lot 97, pl. XXIII.
Mrs Mary Lake: Parke-Bernet, New York, 26 April 1968.
Ira Spanierman, New York.
",-,-,oil on canvas ,-,https://www.christies.com/img/LotImages/2007/CKS/2007_CKS_07413_0091_000().jpg
Yves Klein,Le Rose du bleu,06.27.2012,"36,764,976",153 x 16cm,Post-War and Contemporary Art Evening Auction,,"Collection Madeleine Everaert, Brussels.
François de Menil, New York.
The Mayor Gallery, London.
Acquired from the above by the present owner circa 1980. 
","
Le Rose du bleu (RE 22) 
titled 'Le Rose du bleu' (on the reverse) 
","Collection Madeleine Everaert, Brussels.
","dry pigment in synthetic resin, natural sponges and pebbles on board ",1960,https://www.christies.com/img/LotImages/2012/CKS/2012_CKS_05488_0009_000(yves_klein_le_rose_du_bleu).jpg
Yves Klein,FC1,05.08.2012,"36,482,500",299.5 x 3 cm,Post-War and Contemporary Art Evening Sale,"USD 30,000,000 - USD 40,000,000","Collection of the artist
Pierre Restany, Paris
Acquired from the above by the present owner
",-,"Collection of the artist
",dry pigments and synthetic resin on panel with artist's frame ,1962,https://www.christies.com/img/LotImages/2012/NYR/2012_NYR_02557_0034_000(yves_klein_fc1).jpg
George Stubbs,"Gimcrack on Newmarket Heath, with a trainer, jockey and stable lad",07.05.2011,"36,101,240",102 x 193.6 cm,Old Master & British Paintings - Evening Sale,"GBP 20,000,000 - GBP 30,000,000","Commissioned by Frederick St. John, 2nd Viscount Bolingbroke (1734-1787), circa 1765.
Frederick St. John, 2nd Viscount Bolingbroke; Christie's, London, 11 March 1780, lot 82 (27 gns. to the following) 
George St. John, later 3rd Viscount Bolingbroke, and by descent to
Vernon Henry St. John, 6th Viscount Bolingbroke; Christie's, London, 10 December 1943, lot 48 (4,200 gns. to Ellis and Smith).
Walter Hutchinson; Christie's, London, 20 July 1951, lot 122 (12,000 gns. to the Woolavington Collection). 
",-,"
Walter Hutchinson; Christie's, London, 20 July 1951, lot 122 (12,000 gns. to the Woolavington Collection). 
",oil on canvas ,-,https://www.christies.com/img/LotImages/2011/CKS/2011_CKS_07980_0012_000(george_stubbs_ara_gimcrack_on_newmarket_heath_with_a_trainer_jockey_an).jpg
