Author,Art,Sale date,Price,Provenance,Sign,Technique and performance material,Size,Image,Estimate,Report,Description,Tried url
Barnett Newman,Black Fire I,05.13.2014,"84,165,000",,,,,,,Not Found,,https://www.sothebys.com/en/search-results.html?query=Barnett Newman Black Fire I&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past
Vincent van Gogh,Portrait du Dr. Gachet,05.15.1990,"82,500,000",,,,,,,Not Found,,https://www.sothebys.com/en/search-results.html?query=Vincent van Gogh Portrait du Dr. Gachet&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past
Andy Warhol,Triple Elvis,11.12.2014,"81,925,000",,,,,,,Not Found,,https://www.sothebys.com/en/search-results.html?query=Andy Warhol Triple Elvis&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past
Francis Bacon,Three Studies for a Portrait of John Edwards,05.13.2014,"80,805,000",,,,,,,Not Found,,https://www.sothebys.com/en/search-results.html?query=Francis Bacon Three Studies for a Portrait of John Edwards&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past
Claude Monet,Le bassin aux nymphéas,06.24.2008,"80,549,392",,-,-,-,https://sothebys-com.brightspotcdn.com/dims4/default/a204347/2147483647/strip/true/crop/2000x2000+0+0/resize/212x212!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot-migration.s3.amazonaws.com%2Ffd%2F84%2F7b%2Fc42202988d99e0422a9d4dbeae68db4020114d47e108481e46d448c8bd%2Frn29-l01001-8.jpg,"4,000,000",Found,,
Pierre-Auguste Renoir,Au moulin de la Galette,05.17.1990,"78,100,000",,,,,,,Not Found,,https://www.sothebys.com/en/search-results.html?query=Pierre-Auguste Renoir Au moulin de la Galette&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past
Sir Peter Paul Rubens,The Massacre of the Innocents,07.10.2002,"76,671,280",,,,,,,Not Found,,https://www.sothebys.com/en/search-results.html?query=Sir Peter Paul Rubens The Massacre of the Innocents&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past
Mark Rothko,No. 1,11.13.2012,"75,122,496","Betty Parsons Gallery, New York
The Cohen Family, Brooklyn, New York
The Pace Gallery, New York
Acquired by the present owner from the above in 2005
New York, Betty Parsons Gallery, Mark Rothko: Recent Paintings, March 1948
David Anfam, Mark Rothko: The Works on Canvas, Catalogue Raisonné, New Haven and London, 1998, cat. no. 367, p. 284, illustrated in color

",-,-,137.2 x 69.8 cm,https://sothebys-com.brightspotcdn.com/dims4/default/2637c7d/2147483647/strip/true/crop/1000x2000+0+0/resize/106x212!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot-migration.s3.amazonaws.com%2F70%2Fac%2F29%2F4417df3cc0ef9a2d2acf48efeced4b8ddadcdc7389c84c0a8e8e2284d6%2F315n09141-5v4f4.jpg,"1,500,000",Found,"oil on canvas
54 x 27 1/2 in. 137.2 x 69.8 cm.
Executed in 1948.",
Mark Rothko,White center,05.15.2007,"72,840,000","Sidney Janis Gallery, New York
Eliza Bliss Parkinson, New York (acquired from the above before 1960; titled Yellow, Pink, and Lavender on Rose)
Sidney Janis Gallery, New York (acquired from the above in 1960; titled White Center)
Acquired by the present owner from the above in June 1960
Buffalo, Albright Art Gallery, The Buffalo Fine Arts Academy, Paintings on Loan from the Chase Manhattan Bank, September - October 1960, cat. no. 25
Northampton, Ma., Smith College Museum of Art, Dorothy C. Miller: With and Eye to American Art, April - June 1985, cat. no. 65
Washington, D.C., National Gallery of Art; New York, Whitney Museum of American Art; Paris, Musée d'Art Moderne, Mark Rothko, May 1998 - April 1999, cat. no. 47, p. 107, illustrated in color
Exh. Cat., New York, Solomon R. Guggenheim Museum (and travelling), Mark Rothko, 1903-1970: a Retrospective, 1978, cat. no. 95, illustrated in color (not exhibited)
Jacqueline Barnitz, et. al., The David and Peggy Rockefeller Collection, Volume II: Art of the Western Hemisphere, New York, 1988, p. 135, illustrated in color
David Anfam, Mark Rothko: the Works on Canvas, Catalogue Raisonné, New Haven and London, 1998, cat. no. 444, p. 337, illustrated in color
COLORS TILL NOW UNKNOWN
 by DAVID ANFAM
White Center dates from an annus mirabilis in Mark Rothko's long career-the crucial moment of 1950-when the artist finally established the signature style which continued, with many refinements, until his death in 1970. One of the largest canvases out of the sixteen Rothko painted during that key year, it was also among the most fully resolved (for example, the even bigger No.5 in the Museum of Modern Art, New York, still retains calligraphic markings which evoke an earlier phase). Certainly, White Center's dazzling amplitude and finesse invite an otherwise overused label-the appellation of masterpiece. In short, its commanding scale, sumptuousness and sheer intensity bespeak a modern master in the first full flush of his mature creativity. As such, White Center is also a
READ MORE
","signed and dated 1950 on the reverse
",oil on canvas,205.8 x 141 cm,https://sothebys-com.brightspotcdn.com/dims4/default/82db942/2147483647/strip/true/crop/2000x2000+0+0/resize/212x212!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot-migration.s3.amazonaws.com%2Fd8%2F80%2F76%2Fd734c2ee641549b78fd47dfd64a979767b60009679dfad329f5dd84406%2Fn08317-31-lr-1.jpg,-,Found,"signed and dated 1950 on the reverse
oil on canvas
81 x 55 1/2 in. 205.8 x 141 cm.",
Andy Warhol,Green Car Crash,05.16.2007,"71,720,000",,,,,,,Not Found,,https://www.sothebys.com/en/search-results.html?query=Andy Warhol Green Car Crash&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past
Vincent van Gogh,Portrait de l′artiste sans barbe,11.19.1998,"71,502,496",,,,,,,Not Found,,https://www.sothebys.com/en/search-results.html?query=Vincent van Gogh Portrait de l′artiste sans barbe&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past
Amedeo Modigliani,Tête,11.04.2014,"70,725,000",,,,,,,Not Found,,https://www.sothebys.com/en/search-results.html?query=Amedeo Modigliani Tête&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past
Francis Bacon,Portrait of George Dyer TalkingREPEAT SALE,02.13.2014,"69,625,144",,,,,,,Not Found,,https://www.sothebys.com/en/search-results.html?query=Francis Bacon Portrait of George Dyer Talking&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past
Andy Warhol,Four Marlons,11.12.2014,"69,605,000",,,,,,,Not Found,,https://www.sothebys.com/en/search-results.html?query=Andy Warhol Four Marlons&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past
Cy Twombly,Untitled,11.12.2014,"69,605,000","Leo Castelli Gallery, New York
Collection of Malcolm Goldstein, New York
Christie’s, New York, 16 February 1984, Lot 1973
Gilbert Brownstone Gallery, New York
Private Collection, Switzerland
Sotheby’s, Paris, 3 December 2013, Lot 14
Acquired from the above sale by the present owner
Philadelphia, University of Pennsylvania, Institute of Contemporary Art; San Francisco Museum of Art, Cy Twombly Paintings, Drawings, Constructions 1951-1974, March - June 1975, p. 48
New York, Nahmad Contemporary, Poetics of the Gesture: Schiele, Twombly, Basquiat, May - June 2014, pp. 104-105 and 128, illustrated in color
Suzanne Delehanty, ""The Alchemy of Mind and Hand,"" Arts in Virginia, Vol. 18, No. I, 1977, fig. II, p. 27, illustrated
Nicola del Roscio, Cy Twombly Drawings: Catalogue Raisonné, Vol. 4, 1964-1969, Munich 2014, cat. no. 180, p. 154, illustrated in color 
""Around 1967-1968, Twombly isolated the abstraction of movement, whether at rest or in motion, and its coefficient, space-time; the passionate centrifugal motion of Galatea is transformed into the supreme poetry of movement which intrigued Leonardo throughout his life… It is as if Twombly entered Leonardo’s mind to envision the affinities between natural and human processes—to see the drawn line, like a natural phenomenon, unfold in space and time.”
Suzanne Delehanty, ""The Alchemy of Mind and Hand"" in Nicola del Roscio, Ed., Writings on Cy Twombly, p. 68
",-,-,67.5 by 86.4 cm,https://sothebys-com.brightspotcdn.com/dims4/default/6d3fd66/2147483647/strip/true/crop/2000x1576+0+0/resize/212x167!/quality/90/?url=https%3A%2F%2Fsothebys-com.brightspotcdn.com%2F16%2F76%2Faa%2F26a2f762e066c987b7c8b2a7c17db2b7164e2c2760bfebbcb841f40492%2F1106n10070-b6wsl.jpg,"400,000",Found,"graphite on cardboard
26 5/8 by 34 in. 67.5 by 86.4 cm.
Executed in 1967.",
