Author,Art,Sale date,Price,Url,Report
Li Keran,Mountains in red,06.03.2012,"46,030,324",- and https://www.sothebys.com/en/search-results.html?query=Li Keran Mountains in red&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Francis Bacon,Three studies for portrait of George Dyer,06.30.2014,"45,488,328",- and https://www.sothebys.com/en/search-results.html?query=Francis Bacon Three studies for portrait of George Dyer&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Pablo Picasso,Nu au fauteuil noir,11.09.1999,"45,102,500",- and https://www.sothebys.com/en/search-results.html?query=Pablo Picasso Nu au fauteuil noir&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Francis Bacon,Seated FigureREPEAT SALE,11.12.2014,"44,965,000",https://www.christies.com/lotfinder/paintings/francis-bacon-seated-figure-5846100-details.aspx?from=searchresults&intObjectID=5846100 and ,Found in both Sothby's and Christie's
Barnett Newman,Onement VI,05.14.2013,"43,845,000",- and https://www.sothebys.com/en/search-results.html?query=Barnett Newman Onement VI&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Claude Monet,Nymphéas,11.07.2012,"43,762,500",- and https://www.sothebys.com/en/search-results.html?query=Claude Monet Nymphéas&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Gustav Klimt,Kirche in Cassone - Landschaft mit Zypressen,02.03.2010,"42,944,776",- and https://www.sothebys.com/en/search-results.html?query=Gustav Klimt Kirche in Cassone - Landschaft mit Zypressen&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Amedeo Modigliani,Jeanne Hébuterne,02.06.2013,"42,347,128",https://www.christies.com/lotfinder/paintings/amedeo-modigliani-jeanne-hebuterne-5650334-details.aspx?from=searchresults&intObjectID=5650334 and ,Found in both Sothby's and Christie's
Xu Beihong,Cultivation on the Peaceful Land,12.05.2011,"41,899,616",- and https://www.sothebys.com/en/search-results.html?query=Xu Beihong Cultivation on the Peaceful Land&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Andy Warhol,White Marilyn,05.13.2014,"41,045,000",- and https://www.sothebys.com/en/search-results.html?query=Andy Warhol White Marilyn&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Pablo Picasso,Au Lapin Agile,11.15.1989,"40,700,000",- and https://www.sothebys.com/en/search-results.html?query=Pablo Picasso Au Lapin Agile&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Franz Kline,Untitled,11.14.2012,"40,402,500",https://www.christies.com/lotfinder/paintings/franz-kline-untitled-5621927-details.aspx?from=searchresults&intObjectID=5621927 and ,Found in both Sothby's and Christie's
Paul Gauguin,L′homme à la hache,11.08.2006,"40,336,000",- and https://www.sothebys.com/en/search-results.html?query=Paul Gauguin L′homme à la hache&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Gustav Klimt,Birch Forest,11.08.2006,"40,336,000",- and https://www.sothebys.com/en/search-results.html?query=Gustav Klimt Birch Forest&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Vincent van Gogh,Sunflowers,03.30.1987,"39,663,460",- and https://www.sothebys.com/en/search-results.html?query=Vincent van Gogh Sunflowers&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Paul Gauguin,Maternité,11.04.2004,"39,208,000",- and https://www.sothebys.com/en/search-results.html?query=Paul Gauguin Maternité&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Pablo Picasso,Acrobate et jeune Arlequin,11.28.1988,"38,532,448",- and https://www.sothebys.com/en/search-results.html?query=Pablo Picasso Acrobate et jeune Arlequin&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Andy Warhol,Self-portrait,05.11.2011,"38,442,500",- and https://www.sothebys.com/en/search-results.html?query=Andy Warhol Self-portrait&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
,"Domplatz, Mailand",05.14.2013,"37,125,000","- and https://www.sothebys.com/en/search-results.html?query= Domplatz, Mailand&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past",Not Found in both Sothby's and Christie's
Francis Bacon,Portrait of Lucian Freud,02.10.2011,"36,999,812",- and https://www.sothebys.com/en/search-results.html?query=Francis Bacon Portrait of Lucian Freud&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Paul Cézanne,Nature morte aux fruits et pot de gingembreREPEAT SALE,11.07.2006,"36,976,000",- and https://www.sothebys.com/en/search-results.html?query=Paul Cézanne Nature morte aux fruits et pot de gingembre&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Claude Monet,Nymphéas,06.19.2007,"36,659,600",- and https://www.sothebys.com/en/search-results.html?query=Claude Monet Nymphéas&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Yves Klein,FC1,05.08.2012,"36,482,500",- and https://www.sothebys.com/en/search-results.html?query=Yves Klein FC1&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Jasper Johns,Flag,11.11.2014,"36,005,000",- and https://www.sothebys.com/en/search-results.html?query=Jasper Johns Flag&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Georges Seurat,"Paysage,L′Ile de la Grande-Jatte",05.10.1999,"35,202,500","- and https://www.sothebys.com/en/search-results.html?query=Georges Seurat Paysage,L′Ile de la Grande-Jatte&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past",Not Found in both Sothby's and Christie's
Pablo Picasso,Le repos,05.02.2006,"34,736,000",- and https://www.sothebys.com/en/search-results.html?query=Pablo Picasso Le repos&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Francis Bacon,Portrait of Henrietta Moraes,02.14.2012,"33,664,120",- and https://www.sothebys.com/en/search-results.html?query=Francis Bacon Portrait of Henrietta Moraes&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Lucian Freud,Benefits Supervisor Sleeping,05.13.2008,"33,641,000",- and https://www.sothebys.com/en/search-results.html?query=Lucian Freud Benefits Supervisor Sleeping&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Francis Bacon,Study for Self-Portrait,06.27.2012,"33,619,208",https://www.christies.com/lotfinder/paintings/francis-bacon-study-for-self-portrait-5584464-details.aspx?from=searchresults&intObjectID=5584464 and ,Found in both Sothby's and Christie's
Claude Monet,Bassin aux nympheas et sentier au bord de l′eau,06.30.1998,"32,991,502",- and https://www.sothebys.com/en/search-results.html?query=Claude Monet Bassin aux nympheas et sentier au bord de l′eau&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Andy Warhol,Self portrait,05.12.2010,"32,562,500",- and https://www.sothebys.com/en/search-results.html?query=Andy Warhol Self portrait&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Andy Warhol,Double MarlonREPEAT SALE,05.13.2008,"32,521,000",- and https://www.sothebys.com/en/search-results.html?query=Andy Warhol Double Marlon&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Willem de Kooning,Untitled VIII,11.12.2013,"32,085,000",https://www.christies.com/lotfinder/paintings/willem-de-kooning-untitled-viii-5739124-details.aspx?from=searchresults&intObjectID=5739124 and ,Found in both Sothby's and Christie's
Pablo Picasso,Les femmes d′Alger,11.10.1997,"31,902,500",https://www.christies.com/lotfinder/lot/pablo-picasso-les-femmes-dalger-315763-details.aspx?from=searchresults&intObjectID=315763 and ,Found in both Sothby's and Christie's
Amedeo Modigliani,Le Fils du conciergeREPEAT SALE,11.07.2006,"31,096,000",- and https://www.sothebys.com/en/search-results.html?query=Amedeo Modigliani Le Fils du concierge&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Andy Warhol,Six self portraits,05.14.2014,"30,125,000",- and https://www.sothebys.com/en/search-results.html?query=Andy Warhol Six self portraits&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Johannes,A young woman seated at the virginals,07.07.2004,"29,934,770",- and https://www.sothebys.com/en/search-results.html?query=Johannes A young woman seated at the virginals&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Paul Cézanne,Bouilloire et fruits,12.07.1999,"29,466,720",- and https://www.sothebys.com/en/search-results.html?query=Paul Cézanne Bouilloire et fruits&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Gustav Klimt,Landhaus am Attersee,11.05.2003,"29,128,000",- and https://www.sothebys.com/en/search-results.html?query=Gustav Klimt Landhaus am Attersee&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
,BlauREPEAT SALE,05.14.2014,"28,725,000",- and https://www.sothebys.com/en/search-results.html?query= Blau&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Jasper Johns,Flag,05.11.2010,"28,642,500",- and https://www.sothebys.com/en/search-results.html?query=Jasper Johns Flag&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Paul Cézanne,Nature Morte: Les grosses pommes,05.11.1993,"28,602,500",- and https://www.sothebys.com/en/search-results.html?query=Paul Cézanne Nature Morte: Les grosses pommes&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Andrea Mantegna,Descent into Limbo,01.23.2003,"28,568,000",- and https://www.sothebys.com/en/search-results.html?query=Andrea Mantegna Descent into Limbo&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Jeff Koons,Popeye,05.14.2014,"28,165,000",- and https://www.sothebys.com/en/search-results.html?query=Jeff Koons Popeye&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Jean Honoré Fragonard,"Portrait of François-Henri, 5th duc d′Harcourt",12.05.2013,"28,015,316","- and https://www.sothebys.com/en/search-results.html?query=Jean Honoré Fragonard Portrait of François-Henri, 5th duc d′Harcourt&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past",Not Found in both Sothby's and Christie's
Adriaen de Vries,A Bronze Bacchic Figure Supporting The Globe,12.11.2014,"27,885,000",- and https://www.sothebys.com/en/search-results.html?query=Adriaen de Vries A Bronze Bacchic Figure Supporting The Globe&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
George Wesley Bellows,Polo Crowd,12.01.1999,"27,702,500",- and https://www.sothebys.com/en/search-results.html?query=George Wesley Bellows Polo Crowd&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Francis Bacon,Study for Portrait II,02.08.2007,"27,627,812",- and https://www.sothebys.com/en/search-results.html?query=Francis Bacon Study for Portrait II&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Andy Warhol,Self-portrait,05.11.2011,"27,522,500",- and https://www.sothebys.com/en/search-results.html?query=Andy Warhol Self-portrait&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Alberto Giacometti,Grande femme debout IIREPEAT SALE,05.06.2008,"27,481,000",- and https://www.sothebys.com/en/search-results.html?query=Alberto Giacometti Grande femme debout II&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Francis Bacon,Study for Head of George Dyer,07.01.2008,"27,433,052",- and https://www.sothebys.com/en/search-results.html?query=Francis Bacon Study for Head of George Dyer&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Willem de Kooning,Untitled XXV,11.15.2006,"27,120,000",- and https://www.sothebys.com/en/search-results.html?query=Willem de Kooning Untitled XXV&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Andy Warhol,Liz no.5,05.12.2011,"26,962,500",- and https://www.sothebys.com/en/search-results.html?query=Andy Warhol Liz no.5&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Vincent van Gogh,Sous-bois,11.08.1995,"26,952,500",- and https://www.sothebys.com/en/search-results.html?query=Vincent van Gogh Sous-bois&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Amedeo Modigliani,Nu couché,11.04.2003,"26,887,500",- and https://www.sothebys.com/en/search-results.html?query=Amedeo Modigliani Nu couché&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Edgar Degas,Danseuses à la barreREPEAT SALE,06.24.2008,"26,421,902",https://www.christies.com/lotfinder/drawings-watercolors/edgar-degas-danseuses-a-la-barre-5099996-details.aspx?from=searchresults&intObjectID=5099996 and ,Found in both Sothby's and Christie's
Edouard Manet,La rue Mosnier aux drapeaux,11.14.1989,"26,400,000",- and https://www.sothebys.com/en/search-results.html?query=Edouard Manet La rue Mosnier aux drapeaux&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Vincent van Gogh,Autoportrait,05.15.1990,"26,400,000",- and https://www.sothebys.com/en/search-results.html?query=Vincent van Gogh Autoportrait&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Ren Yi,Huafeng people′s wishes to Emperor Yao,07.16.2011,"25,804,704",- and https://www.sothebys.com/en/search-results.html?query=Ren Yi Huafeng people′s wishes to Emperor Yao&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Rembrandt Harmensz van Rijn,Saint James the Greater,01.25.2007,"25,800,000",- and https://www.sothebys.com/en/search-results.html?query=Rembrandt Harmensz van Rijn Saint James the Greater&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Francis Bacon,Seated Woman,12.12.2007,"24,556,844",- and https://www.sothebys.com/en/search-results.html?query=Francis Bacon Seated Woman&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Claude Monet,Le portail,05.10.2000,"24,205,750",- and https://www.sothebys.com/en/search-results.html?query=Claude Monet Le portail&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Paul Gauguin,Mata Mua,05.09.1989,"24,200,000",- and https://www.sothebys.com/en/search-results.html?query=Paul Gauguin Mata Mua&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
,Vierwaldstätter See,02.11.2015,"24,015,744",https://www.christies.com/lotfinder/paintings/gerhard-richter-vierwaldstatter-see-5871558-details.aspx?from=searchresults&intObjectID=5871558 and ,Found in both Sothby's and Christie's
Pablo Picasso,Les Tuileries,06.25.1990,"23,821,898",- and https://www.sothebys.com/en/search-results.html?query=Pablo Picasso Les Tuileries&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
David Smith,Cubi XXVIII,11.09.2005,"23,816,000",- and https://www.sothebys.com/en/search-results.html?query=David Smith Cubi XXVIII&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Cui Ruzhuo,Landscape in snow,04.07.2014,"23,725,710",- and https://www.sothebys.com/en/search-results.html?query=Cui Ruzhuo Landscape in snow&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Jean-Michel Basquiat,Undiscovered genius of the Mississippi DeltaREPEAT SALE,05.14.2014,"23,685,000",- and https://www.sothebys.com/en/search-results.html?query=Jean-Michel Basquiat Undiscovered genius of the Mississippi Delta&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Andy Warhol,LizREPEAT SALE,11.13.2007,"23,561,000",- and https://www.sothebys.com/en/search-results.html?query=Andy Warhol Liz&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Wu Guanzhong,Ten Thousand Miles of the Yangtze River,11.19.2011,"23,548,498",- and https://www.sothebys.com/en/search-results.html?query=Wu Guanzhong Ten Thousand Miles of the Yangtze River&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Pierre-Auguste Renoir,Dans les Roses,05.06.2003,"23,528,000",- and https://www.sothebys.com/en/search-results.html?query=Pierre-Auguste Renoir Dans les Roses&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
John Singer Sargent,Group with Parasols,12.01.2004,"23,528,000",- and https://www.sothebys.com/en/search-results.html?query=John Singer Sargent Group with Parasols&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Jeff Koons,Cracked Egg,02.13.2014,"23,237,534",- and https://www.sothebys.com/en/search-results.html?query=Jeff Koons Cracked Egg&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Wassily Kandinsky,Fugue,05.17.1990,"22,990,000",- and https://www.sothebys.com/en/search-results.html?query=Wassily Kandinsky Fugue&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Pablo Picasso,Portrait de femme,05.06.2014,"22,565,000",https://www.christies.com/lotfinder/paintings/pablo-picasso-portrait-de-femme-5790381-details.aspx?from=searchresults&intObjectID=5790381 and ,Found in both Sothby's and Christie's
Francis Bacon,Figure Turning,05.13.2014,"22,565,000",https://www.christies.com/lotfinder/paintings/francis-bacon-figure-turning-5792535-details.aspx?from=searchresults&intObjectID=5792535 and ,Found in both Sothby's and Christie's
,Untitled,11.12.2014,"22,565,000",- and https://www.sothebys.com/en/search-results.html?query= Untitled&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Max Beckmann,Selbstbildnis mit Horn,05.10.2001,"22,555,750",- and https://www.sothebys.com/en/search-results.html?query=Max Beckmann Selbstbildnis mit Horn&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Claude Monet,Les PeupliersREPEAT SALE,05.04.2011,"22,482,500",https://www.christies.com/lotfinder/paintings/claude-monet-les-peupliers-5433451-details.aspx?from=searchresults&intObjectID=5433451 and ,Found in both Sothby's and Christie's
Maurice de Vlaminck,Paysage de banlieueREPEAT SALE,05.04.2011,"22,482,500",- and https://www.sothebys.com/en/search-results.html?query=Maurice de Vlaminck Paysage de banlieue&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Henri Matisse,Portrait au manteau bleu,05.06.2008,"22,441,000",https://www.christies.com/lotfinder/paintings/henri-matisse-portrait-au-manteau-bleu-5075569-details.aspx?from=searchresults&intObjectID=5075569 and ,Found in both Sothby's and Christie's
Francis Bacon,Two studies for self-portraitREPEAT SALE,02.10.2015,"22,409,162",- and https://www.sothebys.com/en/search-results.html?query=Francis Bacon Two studies for self-portrait&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Yves Klein,"Sculpture éponge bleue sans titre, SE 168",05.14.2013,"22,005,000","- and https://www.sothebys.com/en/search-results.html?query=Yves Klein Sculpture éponge bleue sans titre, SE 168&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past",Not Found in both Sothby's and Christie's
Paul Gauguin,Deux femmes or La Chevelure fleurie,02.07.2006,"21,656,598",- and https://www.sothebys.com/en/search-results.html?query=Paul Gauguin Deux femmes or La Chevelure fleurie&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Roy Lichtenstein,Reflections on the PromREPEAT SALE,11.12.2014,"21,445,000",https://www.christies.com/lotfinder/paintings/roy-lichtenstein-reflections-on-the-prom-5846067-details.aspx?from=searchresults&intObjectID=5846067 and ,Found in both Sothby's and Christie's
Mark Rothko,Black Stripe,11.14.2012,"21,362,500",- and https://www.sothebys.com/en/search-results.html?query=Mark Rothko Black Stripe&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Wassily Kandinsky,Studie zu Improvisation 3REPEAT SALE,06.18.2013,"21,216,846",- and https://www.sothebys.com/en/search-results.html?query=Wassily Kandinsky Studie zu Improvisation 3&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
